lead_id,first_name,last_name,email,company,source,status,score,converted_opp_id,converted_account_id,converted_date,created_at
25,Lisa,Martin,lisa.martin25@brightwavetech.com,BrightWave Tech,Event,Disqualified,22,,,,2020-02-26T00:00:00
26,Lisa,Miller,lisa.miller26@nexgensolutions.com,NexGen Solutions,Partner Referral,Disqualified,28,,,,2024-09-04T00:00:00
27,Barbara,Johnson,barbara.johnson27@techflowinc.com,TechFlow Inc,Outbound - Cold,MQL,85,,,,2022-10-16T00:00:00
28,Robert,Lee,robert.lee28@pulsepointdigital.com,PulsePoint Digital,Social Media,New,33,,,,2024-10-29T00:00:00
29,Jennifer,Johnson,jennifer.johnson29@metasync.com,MetaSync,Product-Led,Nurture,30,,,,2024-08-02T00:00:00
30,Sarah,Jones,sarah.jones30@cybervault.com,CyberVault,Product-Led,Working,15,,,,2024-12-21T00:00:00
31,Christopher,Martin,christopher.martin31@databridgecorp.com,DataBridge Corp,Inbound - Content,Working,-23,,,,2022-11-20T00:00:00
32,Jennifer,Wilson,jennifer.wilson32@brightwavetech.com,BrightWave Tech,Product-Led,MQL,82,,,,2024-11-13T00:00:00
33,William,Johnson,,BrightWave Tech,Outbound - SDR,New,11,,,,2020-01-09T00:00:00
34,Daniel,Lee,daniel.lee34@streamlineanalytics.com,StreamLine Analytics,Partner Referral,Working,47,,,,2023-11-12T00:00:00
35,Patricia,Thomas,patricia.thomas35@corestack.com,CoreStack,Inbound - Webinar,Working,12,,,,2020-11-09T00:00:00
36,Joseph,Jackson,joseph.jackson36@agiledynamics.com,Agile Dynamics,Event,Working,58,,,,2024-10-10T00:00:00
37,Karen,Johnson,karen.johnson37@rapidcloud.com,RapidCloud,Inbound - Webinar,New,37,,,,2024-09-16T00:00:00
38,Charles,Garcia,charles.garcia38@streamlineanalytics.com,StreamLine Analytics,Outbound - SDR,New,50,,,,2021-04-27T00:00:00
39,John,Lopez,john.lopez39@pulsepointdigital.com,PulsePoint Digital,Paid Search,SQL,75,,,,2020-06-09T00:00:00
40,Thomas,Taylor,thomas.taylor,CoreStack,Outbound - SDR,New,22,,,,2023-01-10T00:00:00
41,Sarah,Martin,sarah.martin41@quantumlogiclabs.com,QuantumLogic Labs,Outbound - Cold,SQL,-85,,,,2024-03-08T00:00:00
42,Lisa,Brown,lisa.brown42@techflowinc.com,TechFlow Inc,Paid Search,SQL,95,,,,2024-02-22T00:00:00
43,Linda,Garcia,linda.garcia43@vertexai.com,VertexAI,Paid Search,MQL,87,,,,2020-01-16T00:00:00
44,Charles,Gonzalez,charles.gonzalez44@agiledynamics.com,Agile Dynamics,Inbound - Web,Working,62,,,,2022-03-08T00:00:00
45,Barbara,Davis,barbara.davis45@brightwavetech.com,BrightWave Tech,Outbound - SDR,Working,68,,,,2023-03-01T00:00:00
46,Robert,Williams,robert.williams46@streamlineanalytics.com,StreamLine Analytics,Paid Search,Working,29,,,,2022-04-29T00:00:00
47,William,Jackson,william.jackson47@corestack.com,CoreStack,Outbound - SDR,Converted,66,673,582,2024-04-02,2024-02-16T00:00:00
48,James,Martinez,james.martinez48@futureforge.com,FutureForge,Paid Search,Nurture,21,,,,2024-09-04T00:00:00
49,William,Martinez,william.martinez49@truenorthdata.com,TrueNorth Data,Partner Referral,Disqualified,4,,,,2024-07-25T00:00:00
50,Thomas,Jackson,thomas.jackson50@corestack.com,CoreStack,Inbound - Web,Disqualified,18,,,,2021-01-20T00:00:00
51,Elizabeth,Rodriguez,elizabeth.rodriguez51@futureforge.com,FutureForge,,Converted,70,3244,507,2024-10-02,2024-09-07T00:00:00
52,Michael,Lopez,michael.lopez52@streamlineanalytics.com,StreamLine Analytics,Outbound - SDR,Disqualified,18,,,,2022-05-16T00:00:00
53,Thomas,Jones,thomas.jones53@metasync.com,MetaSync,Outbound - SDR,Converted,73,2674,881,2022-06-16,2022-04-28T00:00:00
54,Patricia,Brown,patricia.brown54@insightplatforms.com,Insight Platforms,Inbound - Webinar,Converted,68,229,576,2024-02-10,2024-01-09T00:00:00
55,Thomas,Williams,thomas.williams55@rapidcloud.com,RapidCloud,Paid Search,Working,25,,,,2023-06-06T00:00:00
56,Thomas,Lopez,thomas.lopez56@truenorthdata.com,TrueNorth Data,Product-Led,Converted,58,490,791,2024-11-14,2024-11-02T00:00:00
57,James,Thompson,james.thompson57@cybervault.com,CyberVault,Event,Nurture,41,,,,2023-02-23T00:00:00
58,William,Jones,william.jones58@rapidcloud.com,RapidCloud,Social Media,Working,33,,,,2021-11-04T00:00:00
59,Michael,Gonzalez,michael.gonzalez59@innovateco.com,InnovateCo,Outbound - Cold,New,27,,,,2021-02-06T00:00:00
60,Christopher,Wilson,christopher.wilson60@corestack.com,CoreStack,Paid Search,Nurture,38,,,,2022-01-17T00:00:00
61,Jennifer,Rodriguez,jennifer.rodriguez61@cloudscalesystems.com,CloudScale Systems,,New,-10,,,,2023-06-20T00:00:00
62,Karen,Rodriguez,karen.rodriguez62@truenorthdata.com,TrueNorth Data,Inbound - Web,Nurture,11,,,,2024-08-11T00:00:00
63,Patricia,Brown,patricia.brown63@pulsepointdigital.com,PulsePoint Digital,Social Media,Working,35,,,,2024-05-21T00:00:00
64,Mary,Jones,mary.jones64@futureforge.com,FutureForge,Product-Led,SQL,68,,,,2022-04-14T00:00:00
65,Lisa,Davis,lisa.davis65@brightwavetech.com,BrightWave Tech,,MQL,90,,,,2022-04-23T00:00:00
66,Susan,Williams,susan.williams66@primepathdigital.com,PrimePath Digital,Inbound - Web,MQL,57,,,,2021-11-01T00:00:00
67,John,Gonzalez,john.gonzalez67@futureforge.com,FutureForge,Outbound - SDR,New,61,,,,2023-12-13T00:00:00
68,Michael,Gonzalez,michael.gonzalez68@streamlineanalytics.com,StreamLine Analytics,Outbound - Cold,Disqualified,5,,,,2021-05-09T00:00:00
69,William,Thompson,william.thompson69@nexgensolutions.com,NexGen Solutions,Social Media,SQL,-90,,,,2022-12-04T00:00:00
70,Thomas,Taylor,thomas.taylor70@cloudscalesystems.com,CloudScale Systems,Inbound - Web,Nurture,68,,,,2022-06-20T00:00:00
71,Susan,Hernandez,susan.hernandez71@pulsepointdigital.com,PulsePoint Digital,Event,Converted,59,2681,253,2024-06-10,2024-05-05T00:00:00
72,James,Lopez,james.lopez72@corestack.com,CoreStack,Outbound - SDR,Disqualified,24,,,,2022-07-26T00:00:00
73,Susan,Lee,susan.lee73@quantumlogiclabs.com,QuantumLogic Labs,Event,MQL,66,,,,2021-01-29T00:00:00
74,David,Brown,david.brown74@truenorthdata.com,TrueNorth Data,Outbound - SDR,Converted,79,2784,761,2023-01-01,2022-10-19T00:00:00
75,Mary,Lopez,mary.lopez75@streamlineanalytics.com,StreamLine Analytics,Product-Led,Converted,64,1060,171,2024-07-21,2024-05-09T00:00:00
76,Richard,Johnson,richard.johnson76@futureforge.com,FutureForge,Inbound - Webinar,MQL,58,,,,2022-10-07T00:00:00
77,Jessica,Garcia,jessica.garcia77@insightplatforms.com,Insight Platforms,Inbound - Web,Disqualified,29,,,,2024-05-18T00:00:00
78,Karen,Hernandez,karen.hernandez78@vertexai.com,VertexAI,Outbound - SDR,Converted,70,933,7,2024-02-24,2023-12-26T00:00:00
79,Nancy,Gonzalez,,TechFlow Inc,Product-Led,Nurture,47,,,,2024-02-25T00:00:00
80,Michael,Miller,michael.miller80@rapidcloud.com,RapidCloud,Social Media,Converted,-65,872,460,2022-10-24,2022-08-20T00:00:00
81,Jennifer,Rodriguez,jennifer.rodriguez81@databridgecorp.com,DataBridge Corp,Inbound - Web,Working,54,,,,2024-02-18T00:00:00
82,William,Gonzalez,william.gonzalez82@streamlineanalytics.com,StreamLine Analytics,Inbound - Content,MQL,54,,,,2023-04-21T00:00:00
83,Patricia,Wilson,patricia.wilson83@databridgecorp.com,DataBridge Corp,Inbound - Webinar,Nurture,12,,,,2022-01-13T00:00:00
84,David,Brown,david.brown84@primepathdigital.com,PrimePath Digital,Social Media,Nurture,64,,,,2020-01-30T00:00:00
85,Daniel,Williams,daniel.williams85@techflowinc.com,TechFlow Inc,Inbound - Content,New,34,,,,2021-08-29T00:00:00
86,Robert,Jackson,robert.jackson86@quantumlogiclabs.com,QuantumLogic Labs,Social Media,Converted,97,3066,579,2024-03-30,2024-01-28T00:00:00
87,Richard,Hernandez,richard.hernandez87@scaleupsystems.com,ScaleUp Systems,Inbound - Webinar,Nurture,56,,,,2021-08-03T00:00:00
88,Christopher,Miller,christopher.miller88@metasync.com,MetaSync,Inbound - Web,Disqualified,20,,,,2024-06-29T00:00:00
89,Michael,Anderson,michael.anderson89@databridgecorp.com,DataBridge Corp,Inbound - Webinar,Working,67,,,,2021-03-21T00:00:00
90,Sarah,Garcia,sarah.garcia90@rapidcloud.com,RapidCloud,Partner Referral,Disqualified,16,,,,2020-04-28T00:00:00
91,Christopher,Martin,christopher.martin91@futureforge.com,FutureForge,Product-Led,Converted,79,523,241,2024-08-25,2024-07-22T00:00:00
92,Patricia,Martin,patricia.martin92@rapidcloud.com,RapidCloud,Event,New,35,,,,2020-04-24T00:00:00
93,Sarah,Jones,sarah.jones93@streamlineanalytics.com,StreamLine Analytics,Product-Led,Converted,79,1436,177,2024-10-20,2024-08-18T00:00:00
94,Jessica,Miller,jessica.miller94@rapidcloud.com,RapidCloud,Paid Search,Converted,57,2893,957,2022-09-29,2022-07-22T00:00:00
95,James,Smith,james.smith95@vertexai.com,VertexAI,Product-Led,New,67,,,,2023-01-12T00:00:00
96,Linda,Johnson,,CloudScale Systems,Inbound - Web,New,49,,,,2021-06-01T00:00:00
97,Jessica,Thomas,jessica.thomas97@insightplatforms.com,Insight Platforms,Partner Referral,Converted,54,4926,210,2024-07-26,2024-05-07T00:00:00
98,Jennifer,Moore,jennifer.moore98@metasync.com,MetaSync,Paid Search,Working,14,,,,2024-11-02T00:00:00
99,Michael,Martin,michael.martin99@techflowinc.com,TechFlow Inc,Event,MQL,60,,,,2023-04-10T00:00:00
100,Lisa,Gonzalez,lisa.gonzalez,CoreStack,Inbound - Content,New,-58,,,,2023-03-21T00:00:00
101,William,Thomas,william.thomas101@cybervault.com,CyberVault,Product-Led,Disqualified,3,,,,2024-06-08T00:00:00
102,Daniel,Martinez,daniel.martinez102@scaleupsystems.com,ScaleUp Systems,Product-Led,Working,-64,,,,2021-07-31T00:00:00
103,John,Davis,john.davis103@corestack.com,CoreStack,Outbound - SDR,Nurture,15,,,,2021-03-28T00:00:00
104,Sarah,Lee,sarah.lee104@primepathdigital.com,PrimePath Digital,Outbound - SDR,MQL,64,,,,2024-05-16T00:00:00
105,Karen,Williams,karen.williams105@agiledynamics.com,Agile Dynamics,Social Media,Working,32,,,,2022-07-27T00:00:00
106,John,Hernandez,john.hernandez106@insightplatforms.com,Insight Platforms,Inbound - Content,Working,36,,,,2020-06-23T00:00:00
107,Jessica,Moore,jessica.moore107@primepathdigital.com,PrimePath Digital,Outbound - Cold,Nurture,17,,,,2024-05-21T00:00:00
108,Christopher,Garcia,christopher.garcia108@brightwavetech.com,BrightWave Tech,Inbound - Webinar,Nurture,14,,,,2022-08-05T00:00:00
109,Richard,Lopez,richard.lopez109@quantumlogiclabs.com,QuantumLogic Labs,Inbound - Web,MQL,88,,,,2022-07-20T00:00:00
110,Christopher,Thomas,christopher.thomas110@corestack.com,CoreStack,Outbound - Cold,Disqualified,21,,,,2022-02-02T00:00:00
111,James,Thompson,james.thompson111@streamlineanalytics.com,StreamLine Analytics,Paid Search,SQL,51,,,,2021-07-24T00:00:00
112,Elizabeth,Hernandez,elizabeth.hernandez112@scaleupsystems.com,ScaleUp Systems,Paid Search,Disqualified,17,,,,2022-05-18T00:00:00
113,Elizabeth,Gonzalez,elizabeth.gonzalez113@streamlineanalytics.com,StreamLine Analytics,Inbound - Content,Working,26,,,,2020-04-29T00:00:00
114,Thomas,Taylor,thomas.taylor114@rapidcloud.com,RapidCloud,Product-Led,New,50,,,,2020-04-16T00:00:00
115,Jennifer,Gonzalez,jennifer.gonzalez115@vertexai.com,VertexAI,Inbound - Webinar,Nurture,59,,,,2022-12-25T00:00:00
116,Jessica,Jackson,jessica.jackson,PulsePoint Digital,Outbound - Cold,Working,36,,,,2023-09-28T00:00:00
117,Jessica,Lee,jessica.lee117@truenorthdata.com,TrueNorth Data,Event,MQL,90,,,,2021-01-25T00:00:00
118,Daniel,Thompson,daniel.thompson118@cybervault.com,CyberVault,Inbound - Content,New,21,,,,2023-02-05T00:00:00
119,Nancy,Johnson,nancy.johnson119@pulsepointdigital.com,PulsePoint Digital,Outbound - Cold,MQL,52,,,,2023-03-03T00:00:00
120,Nancy,Davis,nancy.davis120@nexgensolutions.com,NexGen Solutions,Inbound - Web,Working,37,,,,2023-01-23T00:00:00
121,Elizabeth,Johnson,elizabeth.johnson121@pulsepointdigital.com,PulsePoint Digital,Product-Led,New,51,,,,2024-03-16T00:00:00
122,Joseph,Martin,joseph.martin122@agiledynamics.com,Agile Dynamics,Inbound - Webinar,SQL,81,,,,2023-11-20T00:00:00
123,Barbara,Wilson,barbara.wilson123@databridgecorp.com,DataBridge Corp,Paid Search,Converted,53,376,933,2023-05-28,2023-05-29T00:00:00
124,Elizabeth,Jackson,elizabeth.jackson124@quantumlogiclabs.com,QuantumLogic Labs,Outbound - SDR,New,23,,,,2020-07-05T00:00:00
125,Barbara,Davis,barbara.davis125@primepathdigital.com,PrimePath Digital,Inbound - Webinar,Converted,79,3893,1,2024-04-17,2024-03-09T00:00:00
126,Patricia,Martinez,patricia.martinez126@scaleupsystems.com,ScaleUp Systems,Inbound - Web,MQL,66,,,,2024-05-13T00:00:00
127,James,Thompson,james.thompson127@corestack.com,CoreStack,Partner Referral,Converted,80,4934,71,2023-03-22,2023-01-15T00:00:00
128,Michael,Anderson,michael.anderson128@databridgecorp.com,DataBridge Corp,Inbound - Web,MQL,94,,,,2024-09-07T00:00:00
129,Karen,Miller,karen.miller129@streamlineanalytics.com,StreamLine Analytics,Inbound - Webinar,Disqualified,-10,,,,2024-04-01T00:00:00
130,Mary,Miller,mary.miller130@metasync.com,MetaSync,Partner Referral,New,60,,,,2020-06-25T00:00:00
131,Sarah,Jones,sarah.jones131@pulsepointdigital.com,PulsePoint Digital,Product-Led,Converted,51,1652,965,2024-05-21,2024-05-08T00:00:00
132,Nancy,Anderson,nancy.anderson132@corestack.com,CoreStack,Partner Referral,Converted,81,1409,408,2024-09-01,2024-08-23T00:00:00
133,Mary,Smith,mary.smith133@nexgensolutions.com,NexGen Solutions,Event,Converted,67,3770,168,2023-04-15,2023-04-04T00:00:00
134,Thomas,Wilson,thomas.wilson134@cybervault.com,CyberVault,Partner Referral,Converted,56,1084,280,2024-03-06,2024-02-23T00:00:00
135,Elizabeth,Thompson,elizabeth.thompson135@primepathdigital.com,PrimePath Digital,Partner Referral,Converted,50,769,554,2023-12-11,2023-11-01T00:00:00
136,Charles,Johnson,charles.johnson136@techflowinc.com,TechFlow Inc,Outbound - SDR,Disqualified,6,,,,2023-02-05T00:00:00
137,Elizabeth,Gonzalez,elizabeth.gonzalez137@rapidcloud.com,RapidCloud,Inbound - Webinar,MQL,88,,,,2022-04-07T00:00:00
138,Michael,Smith,michael.smith138@rapidcloud.com,RapidCloud,Outbound - Cold,Working,31,,,,2023-12-29T00:00:00
139,Patricia,Johnson,patricia.johnson139@metasync.com,MetaSync,Inbound - Webinar,Disqualified,25,,,,2021-12-02T00:00:00
140,William,Brown,william.brown140@metasync.com,MetaSync,Inbound - Web,New,57,,,,2020-05-17T00:00:00
141,David,Davis,david.davis141@brightwavetech.com,BrightWave Tech,Partner Referral,Converted,96,2048,569,2024-10-31,2024-09-02T00:00:00
142,Mary,Lee,mary.lee,InnovateCo,Social Media,Disqualified,22,,,,2020-08-05T00:00:00
143,James,Garcia,james.garcia143@futureforge.com,FutureForge,Inbound - Webinar,New,62,,,,2022-04-22T00:00:00
144,John,Taylor,john.taylor144@futureforge.com,FutureForge,Partner Referral,Disqualified,2,,,,2023-12-07T00:00:00
145,Lisa,Anderson,lisa.anderson145@corestack.com,CoreStack,Inbound - Content,Converted,52,4751,664,2024-11-28,2024-10-10T00:00:00
146,Charles,Brown,charles.brown146@streamlineanalytics.com,StreamLine Analytics,Social Media,New,37,,,,2020-09-03T00:00:00
147,Daniel,Williams,daniel.williams147@techflowinc.com,TechFlow Inc,Event,SQL,85,,,,2022-12-15T00:00:00
148,Michael,Johnson,michael.johnson148@pulsepointdigital.com,PulsePoint Digital,Outbound - Cold,Disqualified,6,,,,2023-11-29T00:00:00
149,James,Jackson,,NexGen Solutions,Social Media,MQL,70,,,,2024-03-26T00:00:00
150,Karen,Anderson,karen.anderson150@insightplatforms.com,Insight Platforms,Outbound - Cold,Nurture,51,,,,2022-09-10T00:00:00
151,David,Lopez,david.lopez151@insightplatforms.com,Insight Platforms,Product-Led,Converted,86,2299,253,2024-08-04,2024-07-13T00:00:00
152,Charles,Miller,charles.miller152@scaleupsystems.com,ScaleUp Systems,Social Media,New,37,,,,2024-12-30T00:00:00
153,David,Hernandez,david.hernandez153@futureforge.com,FutureForge,Event,New,34,,,,2024-11-03T00:00:00
154,Barbara,Martinez,barbara.martinez154@streamlineanalytics.com,StreamLine Analytics,Social Media,Working,52,,,,2022-06-27T00:00:00
155,Joseph,Jones,joseph.jones155@brightwavetech.com,BrightWave Tech,Event,Working,60,,,,2020-06-06T00:00:00
156,Karen,Thomas,karen.thomas156@vertexai.com,VertexAI,Product-Led,Converted,52,3184,748,2024-09-04,2024-08-25T00:00:00
157,Karen,Taylor,karen.taylor157@brightwavetech.com,BrightWave Tech,Outbound - SDR,SQL,92,,,,2022-08-11T00:00:00
158,Nancy,Lee,nancy.lee158@streamlineanalytics.com,StreamLine Analytics,Inbound - Content,MQL,94,,,,2022-06-13T00:00:00
159,Charles,Smith,charles.smith159@streamlineanalytics.com,StreamLine Analytics,Inbound - Web,Disqualified,3,,,,2024-10-08T00:00:00
160,Daniel,Smith,daniel.smith160@nexgensolutions.com,NexGen Solutions,Paid Search,MQL,87,,,,2021-06-28T00:00:00
161,Richard,Williams,richard.williams161@rapidcloud.com,RapidCloud,Outbound - SDR,MQL,92,,,,2022-06-21T00:00:00
162,Barbara,Lopez,barbara.lopez162@pulsepointdigital.com,PulsePoint Digital,Outbound - SDR,Working,16,,,,2020-11-24T00:00:00
163,William,Davis,william.davis163@vertexai.com,VertexAI,Inbound - Webinar,Converted,62,2763,571,2024-10-03,2024-08-24T00:00:00
164,Richard,Rodriguez,richard.rodriguez164@pulsepointdigital.com,PulsePoint Digital,Inbound - Web,Working,31,,,,2021-08-23T00:00:00
165,David,Davis,david.davis165@pulsepointdigital.com,PulsePoint Digital,Social Media,Disqualified,30,,,,2023-09-10T00:00:00
166,Elizabeth,Anderson,elizabeth.anderson166@primepathdigital.com,PrimePath Digital,Event,SQL,72,,,,2024-07-02T00:00:00
167,Christopher,Johnson,christopher.johnson,CloudScale Systems,Inbound - Content,Converted,99,3668,895,2022-01-13,2021-12-12T00:00:00
168,William,Thomas,william.thomas168@rapidcloud.com,RapidCloud,Social Media,New,67,,,,2024-05-15T00:00:00
169,Mary,Johnson,mary.johnson169@innovateco.com,InnovateCo,Product-Led,Working,41,,,,2024-02-04T00:00:00
170,Charles,Jackson,charles.jackson170@scaleupsystems.com,ScaleUp Systems,Inbound - Webinar,Disqualified,20,,,,2022-09-05T00:00:00
171,Michael,Jackson,michael.jackson171@pulsepointdigital.com,PulsePoint Digital,Event,Working,10,,,,2020-02-24T00:00:00
172,Thomas,Rodriguez,thomas.rodriguez172@streamlineanalytics.com,StreamLine Analytics,Product-Led,Converted,71,28,241,2022-07-09,2022-05-11T00:00:00
173,Jessica,Gonzalez,jessica.gonzalez173@scaleupsystems.com,ScaleUp Systems,Outbound - Cold,Working,66,,,,2021-08-09T00:00:00
174,Robert,Rodriguez,robert.rodriguez174@innovateco.com,InnovateCo,Product-Led,Converted,99,3638,886,2023-01-05,2022-12-11T00:00:00
175,Daniel,Wilson,daniel.wilson175@quantumlogiclabs.com,QuantumLogic Labs,Inbound - Content,MQL,54,,,,2022-04-06T00:00:00
176,Elizabeth,Davis,elizabeth.davis176@scaleupsystems.com,ScaleUp Systems,Product-Led,Converted,93,3593,624,2023-01-24,2022-12-04T00:00:00
177,Lisa,Martinez,lisa.martinez177@scaleupsystems.com,ScaleUp Systems,Paid Search,MQL,56,,,,2023-09-03T00:00:00
178,Sarah,Williams,sarah.williams178@truenorthdata.com,TrueNorth Data,Partner Referral,New,15,,,,2021-01-04T00:00:00
179,David,Taylor,david.taylor179@quantumlogiclabs.com,QuantumLogic Labs,Partner Referral,MQL,61,,,,2024-12-11T00:00:00
180,Richard,Lopez,richard.lopez180@insightplatforms.com,Insight Platforms,Outbound - SDR,Disqualified,15,,,,2020-01-01T00:00:00
181,Susan,Thomas,susan.thomas181@techflowinc.com,TechFlow Inc,Product-Led,SQL,99,,,,2022-09-11T00:00:00
182,Daniel,Williams,daniel.williams182@vertexai.com,VertexAI,Paid Search,MQL,76,,,,2023-09-20T00:00:00
183,Richard,Martinez,richard.martinez183@innovateco.com,InnovateCo,Event,Working,40,,,,2023-12-19T00:00:00
184,John,Smith,john.smith184@quantumlogiclabs.com,QuantumLogic Labs,Inbound - Content,Disqualified,7,,,,2021-08-16T00:00:00
185,Richard,Brown,richard.brown185@corestack.com,CoreStack,Product-Led,SQL,60,,,,2021-09-17T00:00:00
186,Thomas,Lopez,thomas.lopez186@cloudscalesystems.com,CloudScale Systems,Partner Referral,Converted,97,2240,600,2022-01-13,2022-01-08T00:00:00
187,David,Rodriguez,david.rodriguez187@techflowinc.com,TechFlow Inc,Social Media,MQL,52,,,,2022-07-17T00:00:00
188,John,Moore,,QuantumLogic Labs,Inbound - Content,Working,39,,,,2023-05-03T00:00:00
189,Christopher,Martinez,christopher.martinez189@pulsepointdigital.com,PulsePoint Digital,Inbound - Content,Disqualified,1,,,,2020-07-19T00:00:00
190,Thomas,Anderson,thomas.anderson190@metasync.com,MetaSync,Social Media,Converted,65,725,326,2024-07-07,2024-06-17T00:00:00
191,Michael,Smith,michael.smith191@innovateco.com,InnovateCo,Product-Led,Converted,83,3771,202,2023-05-13,2023-04-12T00:00:00
192,Lisa,Jackson,lisa.jackson192@truenorthdata.com,TrueNorth Data,Social Media,SQL,70,,,,2021-07-09T00:00:00
193,Joseph,Davis,joseph.davis193@quantumlogiclabs.com,QuantumLogic Labs,Inbound - Webinar,Nurture,60,,,,2022-02-06T00:00:00
194,Mary,Garcia,mary.garcia194@scaleupsystems.com,ScaleUp Systems,Inbound - Webinar,Nurture,49,,,,2024-12-29T00:00:00
195,John,Gonzalez,john.gonzalez195@scaleupsystems.com,ScaleUp Systems,Social Media,Disqualified,23,,,,2021-04-23T00:00:00
196,Richard,Johnson,richard.johnson196@primepathdigital.com,PrimePath Digital,Inbound - Content,Working,17,,,,2023-05-28T00:00:00
197,Lisa,Miller,lisa.miller197@techflowinc.com,TechFlow Inc,Product-Led,SQL,89,,,,2020-04-13T00:00:00
198,Christopher,Martin,christopher.martin198@scaleupsystems.com,ScaleUp Systems,Inbound - Content,MQL,97,,,,2024-05-14T00:00:00
199,David,Jackson,david.jackson,TrueNorth Data,Inbound - Webinar,Nurture,32,,,,2022-06-01T00:00:00
200,Charles,Thompson,charles.thompson200@vertexai.com,VertexAI,Outbound - Cold,Nurture,58,,,,2022-03-31T00:00:00
201,Karen,Taylor,karen.taylor201@nexgensolutions.com,NexGen Solutions,Paid Search,Converted,92,4949,499,2024-11-27,2024-11-25T00:00:00
202,Nancy,Gonzalez,,FutureForge,Inbound - Web,MQL,82,,,,2020-06-03T00:00:00
203,Elizabeth,Martin,elizabeth.martin203@scaleupsystems.com,ScaleUp Systems,Inbound - Web,Working,62,,,,2024-03-23T00:00:00
204,John,Jackson,john.jackson204@cybervault.com,CyberVault,Inbound - Web,Working,44,,,,2024-09-26T00:00:00
205,Lisa,Lopez,lisa.lopez205@brightwavetech.com,BrightWave Tech,Inbound - Webinar,MQL,67,,,,2020-08-26T00:00:00
206,Jennifer,Martinez,jennifer.martinez206@rapidcloud.com,RapidCloud,Inbound - Content,Converted,52,4952,548,2023-09-22,2023-08-01T00:00:00
207,Susan,Martin,,FutureForge,Paid Search,Converted,78,3823,199,2024-08-02,2024-06-13T00:00:00
208,Robert,Wilson,robert.wilson208@agiledynamics.com,Agile Dynamics,Event,Working,39,,,,2024-01-05T00:00:00
209,Thomas,Garcia,thomas.garcia209@corestack.com,CoreStack,Inbound - Web,Converted,83,2836,102,2024-04-01,2024-02-05T00:00:00
